Month,Day,Bold,Italic,Red,I.Symb,I.Code,I.Html,ShortText,FullText,ShorterText
12,25,b,,r,🕀,#,&oplus;,🕀 Різдво Господа Бога і Спаса нашого Ісуса Христа,🕀 Різдво Господа Бога і Спаса нашого Ісуса Христа,
12,26,b,,r,🕃,@,,🕃 Собор Пресвятої Богородиці,🕃 Собор Пресвятої Богородиці,
12,26,,,,,,,"Св. сщмч. Євтимія, єп. Сардійського","Святого священномученика Євтимія, єпископа Сардійського",
12,27,,,,🕃,&,,"🕃 Св. ап., первмч. й архдияк. Стефана","🕃 Святого апостола, первомученика й архидиякона Стефана",
12,27,,,,,,,"Прп. й ісп. Теодора Начертанного, брата Теофана, творця канонів","Преподобного отця нашого й ісповідника Теодора Начертанного, брата Теофана, творця канонів",
12,28,,,,,,,"Свв. двадцяти тисяч мчч., спалених у Нікомидії","Святих двадцяти тисяч мучеників, спалених у Нікомидії",
12,28,,,,,,,"Блаж. сщмч. Григорія Хомишина, єп. Станіславівського","Блаженного священномученика Григорія Хомишина, єпископа Станіславівського",
12,29,,,,,,,"Свв. немовлят, за Христа вбитих у Вифлеємі","Святих немовлят, за Христа вбитих у Вифлеємі",
12,29,,,,,,,"Прп. Маркелла, ігум. монастиря невсипущих","Преподобного отця нашого Маркелла, ігумена монастиря невсипущих",
12,30,,,,,,,Св. мц. Анісії,Святої мучениці Анісії,
12,30,,,,,,,"Прп. Зотика, пресвіт. і кормителя сиріт","Преподобного Зотика, пресвітера і кормителя сиріт",
12,31,,,,,,,Прп. Меланії Римлянки,Преподобної матері нашої Меланії Римлянки,
12,31,,i,r,,,,Віддання Різдва Христового,У цей день віддається свято Різдва Христового,
1,1,b,,r,🕀,#,&oplus;,🕀 Обрізання Господа Бога і Спаса нашого Ісуса Христа,🕀 Обрізання Господа Бога і Спаса нашого Ісуса Христа,
1,1,b,,r,,,,"Св. Василія Великого, архиєп. Кесарії Каппадокійської","Святого отця нашого Василія Великого, архиєпископа Кесарії Каппадокійської",
1,2,,,,,,,Передсвяття Богоявлення,Передсвяття Богоявлення,
1,2,,,,,,,"Св. Сильвестра, папи Римського","Святого Сильвестра, папи Римського",
1,3,,,,,,,Передсвяття Богоявлення,Передсвяття Богоявлення,
1,3,,,,,,,Св. прор. Малахії,Святого пророка Малахії,
1,3,,,,,,,Св. мч. Гордія,Святого мученика Гордія,
1,4,,,,,,,Передсвяття Богоявлення,Передсвяття Богоявлення,
1,4,,,,,,,Собор свв. сімдесяти апп.,Собор святих сімдесяти апостолів,
1,4,,,,,,,"Прп. Теоктиста, ігум., що в Кукумі Сікелійській","Преподобного отця нашого Теоктиста, ігумена, що в Кукумі Сікелійській",
1,5,,,r,,,,Навечір’я Богоявлення,Навечір’я Богоявлення,
1,5,,,,,,,Свв. мчч. Теопемпта й Теони,Святих мучеників Теопемпта й Теони,
1,5,,,,,,,Прп. Синклитікії Олександрійської,Преподобної Синклитікії Олександрійської,
1,6,b,,r,🕀,#,&oplus;,🕀 Святе Богоявлення Господа Бога і Спаса нашого Ісуса Христа,🕀 Святе Богоявлення Господа Бога і Спаса нашого Ісуса Христа,
1,7,,,r,🕃,@,,"🕃 Собор св. славн. прор., предтечі і хрестителя Господнього Івана","🕃 Собор святого славного пророка, предтечі і хрестителя Господнього Івана",
1,8,,,,,,,Прп. Юрія Хозевіта,Преподобного отця нашого Юрія Хозевіта,
1,8,,,,,,,"Св. Еміліяна, ісп.","Святого Еміліяна, ісповідника",
1,8,,,,,,,Прп. Домніки,Преподобної матері нашої Домніки,
1,9,,,,,,,Св. мч. Полієвкта,Святого мученика Полієвкта,
1,10,,,,,,,"Св. Григорія, єп. Ниського","Святого отця нашого Григорія, єпископа Ниського",
1,10,,,,,,,"Прп. Дометіяна, єп. Мелітинського","Преподобного Дометіяна, єпископа Мелітинського",
1,10,,,,,,,"Прп. Маркіяна, пресвіт. й економа Великої Церкви","Преподобного Маркіяна, пресвітера й економа Великої Церкви",
1,11,,,r,🕂,+,&dagger;,"🕂 Прп. Теодосія, спільного життя засновника","🕂 Преподобного отця нашого Теодосія, спільного життя засновника",
1,12,,,,,,,Св. мц. Тетяни,Святої мучениці Тетяни,
1,13,,,,,,,Свв. мчч. Єрмила і Стратоніка,Святих мучеників Єрмила і Стратоніка,
1,14,,,,,,,"Прпп., у Синаї і Раїті повбиваних","Преподобних отців наших, у Синаї і Раїті повбиваних",
1,14,,,,,,,"Пам’ять переставл. св. рівноап. Ніни, просвітительки Грузії","Пам’ять переставлення святої рівноапостольної Ніни, просвітительки Грузії",
1,14,,i,r,,,,Віддання Богоявлення,У цей день віддається свято Богоявлення,
