Читання,Книга,# зач.,,перевірка,Присвята,Примітка
"Мр. 46 зач.; 10, 23-32.",Мр.,46,,,П'ятниця 31-го тижня,
"Мр. 47 зач.; 10, 32-45.",Мр.,47,,,Неділя 5-та посту,
"Мр. 48 зач.; 10, 46-52.",Мр.,48,,,Понеділок 17-го і 32-го тижня,
"Мр. 49 зач.; 11, 1-11.",Мр.,49,,,Понеділок м'ясопусного тижня,
"Мр. 50 зач.; 11, 11-23.",Мр.,50,,,Вівторок 17-го і 32-го тижня,
"Мр. 51 зач.; 11, 23-26.",Мр.,51,,,Середа 17-го і 32-го тижня,
"Мр. 52 зач.; 11, 27-33.",Мр.,52,,,Четвер 17-го і 32-го тижня,
"Мр. 53 зач.; 12, 1-12.",Мр.,53,,,П'ятниця 17-го і 32-го тижня,
"Мр. 54 зач.; 12, 13-17.",Мр.,54,,,Понеділок 33-го тижня,
"Мр. 55 зач.; 12, 18-27.",Мр.,55,,,Вівторок 33-го тижня,
"Мр. 56 зач.; 12, 28-37.",Мр.,56,,,Середа 33-го тидня,
"Мр. 57 зач.; 12, 38-44.",Мр.,57,,,Четвер 33-го тижня,
"Мр. 58 зач.; 13, 1-8.",Мр.,58,,,П'ятниця 33-го тижня,
"Мр. 59 зач.; 13, 9-13.",Мр.,59,,,Понеділок 34-го тижня,
"Мр. 60 зач.; 13, 14-23.",Мр.,60,,,Вівторок 34-го тижня,
"Мр. 61 зач.; 13, 24-31.",Мр.,61,,,Середа 34-го тидня,
"Мр. 62 зач.; 13, 31 – 14, 2.",Мр.,62,,,Четвер 34-го тижня,
"Мр. 63 зач.; 14, 3-9.",Мр.,63,,,П'ятниця 34-го тижня,
"Мр. 64 зач.; 14, 10-42.",Мр.,64,,,Вівторок м'ясопусного тижня,
"Мр. 65 зач.; 14, 43 – 15, 1.",Мр.,65,,,Середа м'ясопусного тижня,
"Мр. 66 зач.; 15, 1-15.",Мр.,66,,,Четвер м'ясопусного тижня,
"Мр. 67 зач.; 15, 16-32.",Мр.,67,a,,"Євангеліє 6-те святих страстей, не переступаючи. Це ж і ризі Господній на Літургії",
"Мр. 67 зач.; 15, 16-41.",Мр.,67,b,,"На 3-му Часі, не переступаючи",
"Мр. 68 зач.; 15, 22, 25, 33-41.",Мр.,68,,?,П’ятниця м’ясопусного тижня,
"Мр. 68 зач.; 15, 22; 25; 33-41.",Мр.,68,,?,,
"Мр. 69 зач.; 15, 43-47.",Мр.,69,,?,Євангеліє 6-те святих страстей,
"Мр. 69 зач.; 15, 43 – 16, 8.",Мр.,69,,?,"В неділю 3-тю після Пасхи, мироносицям",
"Мр. 70 зач.; 16, 1-8.",Мр.,70,,,Євангеліє 2-ге воскресне,
"Мр. 71 зач.; 16, 9-20.",Мр.,71,,,Євангеліє 3-тє воскресне. Це і на Утрені Вознесіння Христового.,
"Мт. 1 зач.; 1, 1-25.",Мт.,1,,,"Неділя перед Різдвом Христовим, святих отців",
"Мт. 2 зач.; 1, 18-25.",Мт.,2,,,"Різдво Христове, на Утрені",
"Мт. 3 зач.; 2, 1-12.",Мт.,3,,,"Різдво Христове, на Літургії",
"Мт. 4 зач.; 2, 13-23.",Мт.,4,,,"26 грудня, в неділю після Різдва Христового і святим немовлятам",
"Мт. 5 зач.; 3, 1-11.",Мт.,5,,,Субота перед Богоявленням,
"Мт. 6 зач.; 3, 13-17.",Мт.,6,,,"Богоявлення, на Літургії",
"Мт. 7 зач.; 4, 1-11.",Мт.,7,,,Субота після Богоявлення,
"Мт. 8 зач.; 4, 12-17.",Мт.,8,,,Неділя після Богоявлення,
"Мт. 9 зач.; 4, 18-23.",Мт.,9,,,"Неділя 2-га, після всіх святих",
